product_id,name,category,price,stock,rating
1,Discover Remain,Clothing,69.72,260,1.77
2,Admit Candidate,Sports,148.95,371,3.52
3,Radio Hand,Books,28.26,225,4.24
4,With Political,Books,31.11,875,2.07
5,Of Wait,Home,181.37,501,1.6
6,Believe Trade,Home,60.69,227,2.57
7,Stop Democrat,Clothing,116.94,688,3.87
8,House Left,Sports,238.54,399,3.87
9,Spend Window,Home,137.51,431,1.01
10,Traditional Others,Books,39.39,552,4.12
11,Rather Manager,Sports,212.66,811,4.34
12,Guy Just,Home,189.44,603,3.16
13,Marriage Side,Clothing,38.34,69,1.57
14,Need Pull,Electronics,222.91,277,2.81
15,Degree Goal,Electronics,63.42,260,2.49
16,Ten Reach,Clothing,68.55,467,1.06
17,Very Eat,Books,20.33,884,2.87
18,Assume Just,Clothing,144.27,15,4.72
19,While Perhaps,Sports,90.8,953,1.8
20,Turn Life,Clothing,18.58,878,2.08
21,Interview Pay,Books,43.65,884,1.18
22,Friend Effort,Clothing,55.19,70,4.94
23,Why Small,Sports,36.62,909,2.19
24,So So,Sports,21.59,979,3.31
25,Other Prove,Electronics,319.89,31,2.45
26,Player Bed,Sports,166.99,477,2.98
27,Heavy Pm,Sports,117.45,368,2.04
28,Sport Put,Sports,160.05,940,1.74
29,Know Former,Sports,213.17,612,3.87
30,Many Big,Sports,231.78,206,3.6
31,Major It,Clothing,30.63,243,1.8
32,Compare Realize,Electronics,492.63,459,4.83
33,Everybody Face,Sports,56.9,877,2.88
34,Public Bag,Electronics,73.93,522,4.42
35,Scene Want,Books,49.99,466,3.42
36,Despite Dark,Clothing,50.3,973,1.25
37,Drive Hard,Sports,249.17,764,2.33
38,Throw Investment,Electronics,66.2,377,1.96
39,Add Thank,Sports,26.32,289,5.0
40,Rate Firm,Sports,99.44,843,2.38
41,Reduce Approach,Home,273.47,146,4.95
42,Event Book,Books,26.46,530,4.15
43,Long Like,Books,21.85,259,2.51
44,Place Culture,Books,41.58,639,1.8
45,History Exactly,Electronics,193.09,99,3.08
